id;service_type;service_name;servcie_id
1;compelling mission-critical;bifurcated scalable;Small
2;deliverables reinvent 24 hour;overriding;monitor 1080p Checking Account
3;world-class Frozen IB;Highway Ergonomic;moratorium moratorium
4;New York tangible Mississippi;Frozen bus;hard drive Robust Networked
5;Poland;Small partnerships;Outdoors
6;Harbor Montana;Corporate Phased relationships;white Brand Money Market Account
7;Salad Web virtual;Refined Squares;maroon
8;EXE projection Fresh;support Gorgeous;withdrawal
9;copying;ability Hat Iraq;magenta Concrete
10;User-centric Gloves;Mauritania;facilitate Tasty Concrete Chips Exclusive
